SRA_Run	Biosample	Laboratory	Date	Country	Download_path	LibraryStrategy	Platform
EPI_ISL_402125			2019-12-31	China			
SRR11637338	SAMN14765029	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11637/SRR11637338/SRR11637338.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637337	SAMN14765030	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11637/SRR11637337/SRR11637337.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637336	SAMN14765031	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11637/SRR11637336/SRR11637336.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637332	SAMN14765035	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11637/SRR11637332/SRR11637332.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637330	SAMN14765036	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11637/SRR11637330/SRR11637330.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637328	SAMN14765038	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11637/SRR11637328/SRR11637328.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637325	SAMN14765041	WA State Department of Health	2020-03-19	USA: Washington	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11637/SRR11637325/SRR11637325.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637318	SAMN14765047	MA State Public Health Laboratory	2020-01-29	USA: Massachusetts	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11637/SRR11637318/SRR11637318.lite.1	AMPLICON	OXFORD_NANOPORE
SRR11637317	SAMN14765048	CDPH, Viral and Rickettsial Disease Laboratory	2020-02-06	USA: California	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11637/SRR11637317/SRR11637317.lite.1	AMPLICON	OXFORD_NANOPORE
